Unnamed: 0;iteration;screening_sensitivity;screening_specificity;screening_cost;provider_cost;eGFR_cost;ultrasound_cost;ACE cost;diabetic_prevalence_30_39;diabetic_prevalence_40_49;diabetic_prevalence_50_59;diabetic_prevalence_60_69;diabetic_prevalence_70_79;DM_prev_30_39;DM_prev_40_49;DM_prev_50_59;DM_prev_60_69;DM_prev_70;DM_NDM_HR;dapa cost;disutility_medication_decrement;disutility_medication_cost;adverse_event_prop;UTI_event_prop;UTI_event_cost;disutility_UTI_decrement;DKA_event_prop;DKA_event_cost;disutility_DKA_decrement;compliance;SGLT2_discontinue;Stage3a mortality;Stage3b mortality;Stage4 mortality;Stage5 mortality;Stage2_QALY;Stage3a_QALY;Stage3b_QALY;Stage4_QALY;KF_PRE_KRT_QALY;KF_ON_KRT_QALY;Stage3a_overall_cost;Stage3b_overall_cost;Stage4_overall_cost;Stage5_overall_cost;Stage3a_DM_overall_cost;Stage3b_DM_overall_cost;Stage4_DM_overall_cost;Stage3a_NDM_cost;Stage3b_NDM_cost;Stage4_NDM_cost;Stage5_NDM_cost;Stage3a_DM_cost;Stage3b_DM_cost;Stage4_DM_cost;Stage5_DM_cost;baseline_costs;male_prop;diabetic ACM HR;diabetic kidney HR;non diabetic ACM HR;non diabetic kidney HR;TREATMENT ADHERENCE;DM_disutility
0;0;0.86752264;0.872137646;60.48542926;198.5186537;18.03778727;398.4384214;39.80594596;0.145833333;0.323529412;0.575757576;0.450920245;0.482014388;0.034203103;0.082825385;0.125089863;0.202138323;0.248016557;1.395312459;354.5075678;0.008119119;3746.332823;5.87437E-06;0.00876683;155.1305806;0.000317227;0.000513546;30905.30792;0.007805671;0.00538854;0.011592651;1.208407275;1.801785826;3.170571038;5.645865367;0.905669908;0.833552683;0.833552683;0.712221197;0.712221197;0.493562454;156.2863038;363.5209904;902.262856;8614.547214;94.63812366;291.3693968;607.0548798;26.72836582;111.3565879;556.4979585;7248.672816;502.0722904;778.7597341;2145.171246;8532.972075;1.244322866;0.515497765;0.669118781;0.445131081;0.344212945;0.33875102;0.664038879;0.039185952
1;1;0.879720891;0.892242794;53.04224756;195.5063828;24.94276933;364.8719965;39.72289029;0.104166667;0.235294118;0.509090909;0.380368098;0.458633094;0.038434415;0.073861599;0.132997843;0.218175743;0.22490514;1.41554197;379.9344671;0.0052329;3921.195639;0.00103549;0.008834999;108.1630275;0.004876495;0.000329228;26540.03045;0.007004058;0.00701094;0.013371603;1.166434476;1.832709052;3.219577004;6.023122298;0.926494988;0.860663981;0.860663981;0.733529116;0.733529116;0.56378799;153.9855264;376.171925;1213.277728;9760.20735;119.8617763;277.4970476;572.8387451;36.89164224;117.0413005;475.8420143;7564.378938;456.485291;904.6081719;2254.28868;8917.592902;0.77127316;0.49702971;0.701740595;0.540962657;0.592046827;0.466726018;0.647699484;0.033149538
2;2;0.812040472;0.894190025;49.13478378;191.3434652;22.29168743;370.4039219;32.4358496;0.1875;0.323529412;0.563636364;0.438650307;0.420863309;0.034555712;0.072427393;0.131200575;0.200467758;0.221800621;1.750343691;328.3575552;0.004251117;3868.769632;6.49308E-10;0.010927593;147.1568374;0.005849895;0.000277661;28163.64048;0.009139302;0.00281961;0.013748121;1.243572893;1.828004202;3.234603624;5.972633362;0.821932789;0.810278789;0.810278789;0.783939715;0.783939715;0.534108651;124.624505;429.0847895;963.710622;7675.924316;73.05041328;247.3183028;585.4979447;44.92271952;119.5818755;414.5381722;6157.250401;458.992715;858.9158292;1777.721768;10194.23071;1.202933175;0.500638828;0.71400203;0.68429452;0.448578413;0.687904799;0.781003362;0.039355832
3;3;0.865098281;0.864231063;40.34325622;194.3060946;28.01191917;420.505965;48.33101725;0.0625;0.294117647;0.551515152;0.40797546;0.428057554;0.041255289;0.086769451;0.135514019;0.199131306;0.238013108;1.41924487;413.6367918;0.010964429;4036.627931;0.002058147;0.005239903;137.4177423;0.002111592;0.00046533;30310.65396;0.009704709;0.003448841;0.01048549;1.160748336;1.851814405;3.333043581;6.323327097;0.839695292;0.774627291;0.774627291;0.702585757;0.702585757;0.640383972;139.0013839;416.1168946;1055.763768;7767.561655;107.8923218;234.5027226;513.527262;32.0721643;90.16004171;387.6598827;5594.106777;446.5387726;900.2937893;2282.403933;8618.429964;1.135846899;0.492272537;0.768631056;0.61845487;0.450581819;0.583561217;0.596396466;0.088843307
4;4;0.844549473;0.87524687;59.81913157;215.7585632;20.70261353;337.1745191;28.55603831;0.083333333;0.176470588;0.533333333;0.380368098;0.442446043;0.038434415;0.079239871;0.126887132;0.205813565;0.23387375;1.567232543;402.9193879;0.009292515;3077.896415;0.000526249;0.011457435;122.037685;0.002398754;0.000292183;26531.41408;0.012436621;0.005003637;0.011193447;1.18395248;1.821794014;3.08982116;5.721570111;0.782365037;0.787884431;0.787884431;0.787482331;0.787482331;0.552319063;140.9335276;321.7338326;1210.630428;6579.456086;87.05947272;207.8209977;666.1249942;35.67416842;145.1970758;483.0750829;6038.524798;450.5989026;950.0533247;1991.50489;10373.35263;1.187945953;0.491080699;0.764997136;0.599851173;0.381977957;0.556844371;0.757943283;0.039122965
5;5;0.872481019;0.86934912;35.57453408;196.2498036;22.95237662;493.8992956;30.35146644;0.145833333;0.323529412;0.484848485;0.411042945;0.411870504;0.036671368;0.085693797;0.14162473;0.202138323;0.226974819;1.639700788;437.41344;0.01324683;3598.703704;4.54577E-05;0.009663048;139.5162056;0.000419954;0.000466287;27386.71868;0.007022821;0.006429039;0.00812827;1.18503258;1.883159858;3.197956584;5.577119665;0.873210764;0.842668079;0.842668079;0.77663199;0.77663199;0.628510091;132.9686751;358.9002856;1199.331676;6505.510025;117.5639322;317.7300709;569.1094803;33.4995702;97.05197648;496.2768584;6639.174131;466.4919753;889.6724022;1981.752754;10087.01937;0.860802586;0.515198341;0.936243057;0.595793043;0.690754595;0.549524746;1;0.05019154
6;6;0.847155459;0.898365618;55.35712131;166.9378114;20.03486305;514.3018563;28.66481037;0.104166667;0.294117647;0.551515152;0.420245399;0.386690647;0.037376587;0.076012908;0.140905823;0.203808887;0.235598482;1.532682983;381.0013347;0.008709506;3402.853864;1.00455E-09;0.010871455;161.339186;0.001924795;0.000440923;27682.28373;0.010052443;0.002233409;0.008997549;1.205451812;1.744408141;3.222350549;5.593191515;0.846642612;0.821387964;0.821387964;0.773832906;0.773832906;0.567646768;136.006898;507.790901;1079.932101;8315.281488;111.366814;235.4059849;607.9641814;35.32935028;89.134266;474.552385;6413.825008;507.2202343;1031.642984;1913.183209;9196.796346;1.070859064;0.498341269;0.744692708;0.612272953;0.609381641;0.571754935;0.676831077;0.062086384
7;7;0.896207222;0.87438627;56.07727434;245.5940691;23.82277591;414.513762;37.55002777;0.083333333;0.235294118;0.551515152;0.395705521;0.43705036;0.042313117;0.074220151;0.135873472;0.199465419;0.237323215;1.364333869;532.9328412;0.00452991;4859.796064;6.08334E-13;0.002100066;152.8166448;0.001657899;0.000317421;30359.60399;0.009101573;0.003783847;0.013280695;1.210929601;1.814482893;3.013180665;5.92044772;0.734522189;0.704226611;0.704226611;0.699694601;0.699694601;0.585244513;147.1033601;495.0142956;1094.677523;6994.958448;117.0981688;358.1030246;620.9020609;39.39703648;123.9336381;457.1953523;6448.376999;442.0592272;665.833712;1913.906165;8346.733301;0.673266502;0.487644404;0.687211871;0.52255237;0.470175895;0.440168218;1;0.038141085
8;8;0.844712646;0.87658497;55.4992591;245.7080869;24.63444465;393.3434734;34.53087501;0.104166667;0.367647059;0.503030303;0.414110429;0.438848921;0.031734838;0.082466834;0.127606039;0.207818243;0.256295274;1.772920071;408.8825193;0.00494927;4584.410437;2.60848E-07;0.012305582;179.9876134;0.001735738;0.000252633;22720.51185;0.00570591;0.005994404;0.011474974;1.227572705;1.785254119;3.187395531;5.616570593;0.884356433;0.779094705;0.779094705;0.643720544;0.643720544;0.561210713;151.1571108;387.119288;1218.328762;7852.189063;121.9824424;245.7833281;540.1150987;29.84534824;121.4292828;563.8156673;5715.24408;363.6695076;694.8509974;2103.640925;7722.356352;1.320841608;0.499146229;0.678878261;0.509118419;0.631680492;0.422903974;0.412968079;0.043624798
9;9;0.891889682;0.879170423;62.18743354;237.0245553;29.92125157;334.5329649;32.35039942;0.125;0.220588235;0.533333333;0.392638037;0.422661871;0.03561354;0.077805665;0.129762761;0.212161711;0.238703001;1.49123273;487.6149568;0.007041114;3615.771293;8.03801E-05;0.006393631;162.5621356;0.005604415;0.000122531;37321.66714;0.008768283;0.003003093;0.02005807;1.197881062;1.812496147;3.20980818;5.861647213;0.918143748;0.867804033;0.867804033;0.766252618;0.766252618;0.668712637;143.6012971;433.8158817;1131.148894;7602.755311;80.70224479;290.7886329;682.4155105;31.0076935;103.3197493;475.0978947;6557.958816;556.4917696;797.5646423;1853.318882;8159.302444;0.877078204;0.485094806;0.753008908;0.582706069;0.493879756;0.529594554;0.828115031;0.032816688
